,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,time_window,filename,Cluster
71,-2.325911,-10.778321,-0.23685694,0.6832911,2.1412535,"[35.5, 36.0]",SM15XPRIZE_20240411_095302.wav,6
72,0.064297944,-11.548476,-0.4370021,0.5822353,2.9671576,"[36.0, 36.5]",SM15XPRIZE_20240411_095302.wav,6
73,1.3860652,-12.077091,-1.237343,0.46562308,3.1654494,"[36.5, 37.0]",SM15XPRIZE_20240411_095302.wav,6
74,1.591572,-11.670441,-1.3071067,0.43048102,3.0452757,"[37.0, 37.5]",SM15XPRIZE_20240411_095302.wav,6
75,2.8375266,-12.450017,-0.60504246,0.6489217,3.1423364,"[37.5, 38.0]",SM15XPRIZE_20240411_095302.wav,6
76,3.3833773,-12.572861,-0.7332828,0.61724555,3.1588545,"[38.0, 38.5]",SM15XPRIZE_20240411_095302.wav,6
77,3.0914953,-13.017723,-0.7007574,0.5770609,3.2493846,"[38.5, 39.0]",SM15XPRIZE_20240411_095302.wav,6
78,1.8054659,-12.672599,-0.80934376,0.46278587,3.1331224,"[39.0, 39.5]",SM15XPRIZE_20240411_095302.wav,6
79,0.2878919,-11.8363285,-0.42438352,0.6602763,3.3364084,"[39.5, 40.0]",SM15XPRIZE_20240411_095302.wav,6
80,-6.436753,-9.718411,-0.3440926,0.68122745,1.3453045,"[40.0, 40.5]",SM15XPRIZE_20240411_095302.wav,1
81,-11.667205,-8.600602,-0.35111305,-0.15833335,0.30982292,"[40.5, 41.0]",SM15XPRIZE_20240411_095302.wav,1
82,-16.724937,-6.0166583,1.538815,0.74324733,-0.4479534,"[41.0, 41.5]",SM15XPRIZE_20240411_095302.wav,1
83,-14.974803,-6.2368336,1.4816786,0.73213965,-0.2519145,"[41.5, 42.0]",SM15XPRIZE_20240411_095302.wav,1
84,-9.218325,-7.7537756,0.4724318,1.388123,1.0080887,"[42.0, 42.5]",SM15XPRIZE_20240411_095302.wav,1
85,-5.1400476,-9.804714,0.37801597,1.9770505,1.9532163,"[42.5, 43.0]",SM15XPRIZE_20240411_095302.wav,1
86,-1.3684534,-10.419381,0.36118403,1.6860313,2.5462332,"[43.0, 43.5]",SM15XPRIZE_20240411_095302.wav,6
87,-0.18072815,-11.063765,0.30282283,1.9853001,2.6450543,"[43.5, 44.0]",SM15XPRIZE_20240411_095302.wav,6
88,2.5194502,-12.220468,0.06588369,1.5790089,2.6466477,"[44.0, 44.5]",SM15XPRIZE_20240411_095302.wav,6
89,3.0514603,-13.604935,1.0241864,1.7666583,2.9675262,"[44.5, 45.0]",SM15XPRIZE_20240411_095302.wav,6
90,3.0258365,-13.550115,0.59475404,1.2555823,2.964587,"[45.0, 45.5]",SM15XPRIZE_20240411_095302.wav,6
91,3.5687482,-13.3800335,0.9936029,1.9052995,3.3410337,"[45.5, 46.0]",SM15XPRIZE_20240411_095302.wav,6
92,4.4376144,-13.05502,0.4830205,1.8125213,3.205986,"[46.0, 46.5]",SM15XPRIZE_20240411_095302.wav,6
93,3.6593018,-11.951799,0.48863766,1.5547494,3.302792,"[46.5, 47.0]",SM15XPRIZE_20240411_095302.wav,6
94,3.432953,-12.400705,0.88183254,1.1520007,3.0315387,"[47.0, 47.5]",SM15XPRIZE_20240411_095302.wav,6
95,3.7117553,-13.114213,1.009073,1.2548643,3.0161328,"[47.5, 48.0]",SM15XPRIZE_20240411_095302.wav,6
96,4.193072,-13.28856,1.26013,2.0597541,3.2314942,"[48.0, 48.5]",SM15XPRIZE_20240411_095302.wav,6
97,4.1226788,-13.594833,0.67087936,2.2021234,3.5469158,"[48.5, 49.0]",SM15XPRIZE_20240411_095302.wav,6
98,4.0679827,-12.913571,0.80901706,1.8324809,3.6106646,"[49.0, 49.5]",SM15XPRIZE_20240411_095302.wav,6
99,3.5380132,-13.374219,0.7696618,1.8384249,3.0299633,"[49.5, 50.0]",SM15XPRIZE_20240411_095302.wav,6
100,4.7577767,-13.266129,1.3903056,2.4615448,3.2070737,"[50.0, 50.5]",SM15XPRIZE_20240411_095302.wav,6
101,2.9244888,-12.171834,1.4563011,2.4653933,3.0977046,"[50.5, 51.0]",SM15XPRIZE_20240411_095302.wav,6
102,5.9228754,-13.801767,1.345821,2.4957447,3.3631454,"[51.0, 51.5]",SM15XPRIZE_20240411_095302.wav,6
103,5.77387,-12.260377,0.80660295,2.63824,3.287832,"[51.5, 52.0]",SM15XPRIZE_20240411_095302.wav,6
104,5.298533,-13.170265,0.83274114,1.938989,3.5387845,"[52.0, 52.5]",SM15XPRIZE_20240411_095302.wav,6
105,6.357831,-13.255298,0.9980562,2.093692,3.3224277,"[52.5, 53.0]",SM15XPRIZE_20240411_095302.wav,6
106,2.13423,-10.497209,-0.73325956,0.5326127,3.0755785,"[53.0, 53.5]",SM15XPRIZE_20240411_095302.wav,6
107,-0.7808917,-11.271358,-0.8501946,0.5506443,3.1375623,"[53.5, 54.0]",SM15XPRIZE_20240411_095302.wav,6
108,3.4426608,-13.063537,0.79093766,1.3381948,3.48767,"[54.0, 54.5]",SM15XPRIZE_20240411_095302.wav,6
109,-0.16456008,-11.003854,0.8702604,1.3250844,3.085002,"[54.5, 55.0]",SM15XPRIZE_20240411_095302.wav,6
110,-4.9032636,-10.060205,0.67710006,1.153179,2.5064263,"[55.0, 55.5]",SM15XPRIZE_20240411_095302.wav,1
111,-3.795416,-9.905676,1.4225541,0.92319673,2.2809923,"[55.5, 56.0]",SM15XPRIZE_20240411_095302.wav,1
112,-0.117578894,-11.373312,1.662417,1.7724196,2.7466466,"[56.0, 56.5]",SM15XPRIZE_20240411_095302.wav,6
113,4.3709426,-13.075575,1.8805434,2.3713696,3.211988,"[56.5, 57.0]",SM15XPRIZE_20240411_095302.wav,6
114,5.4490743,-12.163532,1.4804711,2.7463813,3.4166453,"[57.0, 57.5]",SM15XPRIZE_20240411_095302.wav,6
115,7.116989,-13.121436,1.5327482,2.788115,3.270741,"[57.5, 58.0]",SM15XPRIZE_20240411_095302.wav,6
116,-7.6207385,4.0535965,-1.1356081,4.293312,-0.4887007,"[0, 0.5]",SM15XPRIZE_20240410_060002.wav,4
117,-6.285697,3.6028857,1.1357639,5.603176,0.25669017,"[0.5, 1.0]",SM15XPRIZE_20240410_060002.wav,4
118,-2.664546,6.7474446,-0.75597626,4.9016256,-0.5054345,"[1.0, 1.5]",SM15XPRIZE_20240410_060002.wav,4
119,-5.2092896,5.0479064,-1.191745,4.1418757,0.030187024,"[1.5, 2.0]",SM15XPRIZE_20240410_060002.wav,4
120,-6.4648848,2.6525068,1.0180792,6.189588,1.3856572,"[2.0, 2.5]",SM15XPRIZE_20240410_060002.wav,4
121,-5.0427833,3.4300013,-0.8752901,4.9826946,-0.06664415,"[2.5, 3.0]",SM15XPRIZE_20240410_060002.wav,4
122,-4.9789367,7.7168865,0.7727046,6.69955,0.6598246,"[3.0, 3.5]",SM15XPRIZE_20240410_060002.wav,4
123,-10.019897,2.8774953,0.71780443,5.1789913,-0.45726505,"[3.5, 4.0]",SM15XPRIZE_20240410_060002.wav,4
124,-10.33679,2.27545,-0.23166268,4.7298584,-0.8461094,"[4.0, 4.5]",SM15XPRIZE_20240410_060002.wav,4
125,-7.0961046,7.057465,2.2210586,6.9268913,1.1342046,"[4.5, 5.0]",SM15XPRIZE_20240410_060002.wav,4
